2026-06-25 21:26:27 | WARNING  | scrapers.base_scraper     | [naukri] HTTP error 406 for https://www.naukri.com/jobapi/v3/search
2026-06-25 21:26:30 | WARNING  | scrapers.base_scraper     | [naukri] HTTP error 406 for https://www.naukri.com/jobapi/v3/search
2026-06-25 21:26:33 | WARNING  | scrapers.base_scraper     | [naukri] HTTP error 406 for https://www.naukri.com/jobapi/v3/search
2026-06-25 21:26:37 | WARNING  | scrapers.base_scraper     | [naukri] HTTP error 406 for https://www.naukri.com/jobapi/v3/search
2026-06-25 21:26:39 | WARNING  | scrapers.base_scraper     | [naukri] HTTP error 406 for https://www.naukri.com/jobapi/v3/search
2026-06-25 21:26:41 | INFO     | scrapers.base_scraper     | [naukri] Scraped 0 jobs
2026-06-25 21:26:41 | INFO     | scrapers.scraper_manager  | Γ£ô Naukri: 0 jobs (19.8s)
2026-06-25 21:26:41 | INFO     | scrapers.scraper_manager  | ΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇ
2026-06-25 21:26:41 | INFO     | scrapers.scraper_manager  | Running: Foundit
2026-06-25 21:26:41 | INFO     | scrapers.base_scraper     | [foundit] Starting scrape...
2026-06-25 21:26:46 | INFO     | scrapers.base_scraper     | [foundit] Scraped 0 jobs
2026-06-25 21:26:46 | INFO     | scrapers.scraper_manager  | Γ£ô Foundit: 0 jobs (5.1s)
2026-06-25 21:26:46 | INFO     | scrapers.scraper_manager  | ΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇΓöÇ
2026-06-25 21:26:46 | INFO     | scrapers.scraper_manager  | Running: Google Jobs
2026-06-25 21:26:46 | INFO     | scrapers.base_scraper     | [google_jobs] Starting scrape...
2026-06-25 21:26:52 | INFO     | scrapers.base_scraper     | [google_jobs] Scraped 0 jobs
2026-06-25 21:26:52 | INFO     | scrapers.scraper_manager  | Γ£ô Google Jobs: 0 jobs (6.2s)
2026-06-25 21:26:52 | INFO     | scrapers.scraper_manager  | ΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉΓòÉ
2026-06-25 21:26:52 | INFO     | scrapers.scraper_manager  | Scraping complete: 431 total jobs from 10/10 sources (297.1s)
2026-06-25 21:26:52 | INFO     | main                      |    Raw jobs collected: 431
2026-06-25 21:26:52 | INFO     | main                      | 
≡ƒöº Step 3: Filtering jobs...
2026-06-25 21:26:52 | INFO     | core.filter_engine        | Filtering 431 jobs...
2026-06-25 21:26:52 | INFO     | core.filter_engine        | After filtering: 123 jobs remain (from 431)
2026-06-25 21:26:52 | INFO     | main                      |    After filtering: 123 jobs
2026-06-25 21:26:52 | INFO     | main                      | 
≡ƒöä Step 4: Deduplicating...
2026-06-25 21:26:52 | INFO     | core.dedup_engine         | Deduplicating 123 jobs...
2026-06-25 21:26:52 | INFO     | core.dedup_engine         | Deduplication complete: 19 duplicates removed (pass1: 11, pass2: 8), 104 unique jobs
2026-06-25 21:26:52 | INFO     | main                      |    After dedup: 104 unique jobs
2026-06-25 21:26:52 | INFO     | main                      | 
≡ƒåò Step 5: Finding new jobs since last run...
2026-06-25 21:26:52 | INFO     | core.dedup_engine         | Found 104 new jobs (not in history)
2026-06-25 21:26:52 | INFO     | main                      |    New jobs: 104
2026-06-25 21:26:52 | INFO     | main                      | 
≡ƒôè Step 6: Ranking jobs...
2026-06-25 21:26:52 | INFO     | core.ranking_engine       | Ranking 104 jobs...
2026-06-25 21:26:52 | INFO     | core.ranking_engine       | Top ranked: Airbnb - Software Engineer, BizTech(Python, LLM, GenAI, MCP) (score: 0.910)
2026-06-25 21:26:52 | INFO     | core.ranking_engine       | Ranking 104 jobs...
2026-06-25 21:26:52 | INFO     | core.ranking_engine       | Top ranked: Airbnb - Software Engineer, BizTech(Python, LLM, GenAI, MCP) (score: 0.910)
2026-06-25 21:26:52 | INFO     | main                      |    After salary filter: 104 jobs remain
2026-06-25 21:26:52 | INFO     | main                      | 
≡ƒÅå Step 7: 50 jobs selected for notification
2026-06-25 21:26:52 | INFO     | main                      |    1. Airbnb - Software Engineer, BizTech(Python, LLM, GenAI, MCP) (Score: 0.910, Prestige: 9/10, Est. Salary: Γé╣28 LPA)
2026-06-25 21:26:52 | INFO     | main                      |    2. OpenAI - Analytics Engineer, Safety SystemsApplied AI EngineeringSan Francisco (Score: 0.900, Prestige: 10/10, Est. Salary: Γé╣35 LPA)
